state,year,year_gdp,hc-key
Johor,2015,110011.567,my-jh
Kedah,2015,39552.941,my-kh
Kelantan,2015,21409.555,my-kn
Melaka,2015,36080.322,my-me
Negeri Sembilan,2015,40189.091,my-ns
Pahang,2015,49453.914,my-ph
Pulau Pinang,2015,78152.855,my-pg
Perak,2015,63180.923,my-pk
Perlis,2015,5353.33,my-pl
Selangor,2015,268847.836,my-sl
Terengganu,2015,31127.09,my-te
Sabah,2015,73782.396,my-sa
Sarawak,2015,121595.608,my-sk
W.P. Kuala Lumpur,2015,180879.908,my-kl
W.P. Labuan,2015,5999.735,my-la
Johor,2016,116697.792,my-jh
Kedah,2016,41163.124,my-kh
Kelantan,2016,22482.547,my-kn
Melaka,2016,37720.337,my-me
Negeri Sembilan,2016,41778.59,my-ns
Pahang,2016,50882.244,my-ph
Pulau Pinang,2016,82505.553,my-pg
Perak,2016,65968.179,my-pk
Perlis,2016,5574.085,my-pl
Selangor,2016,281866.633,my-sl
Terengganu,2016,32138.936,my-te
Sabah,2016,77529.424,my-sa
Sarawak,2016,124525.483,my-sk
W.P. Kuala Lumpur,2016,191662.532,my-kl
W.P. Labuan,2016,6419.434,my-la
Johor,2017,123576.722,my-jh
Kedah,2017,43074.537,my-kh
Kelantan,2017,23507.544,my-kn
Melaka,2017,40841.391,my-me
Negeri Sembilan,2017,43823.991,my-ns
Pahang,2017,54602.64,my-ph
Pulau Pinang,2017,86779.676,my-pg
Perak,2017,69347.023,my-pk
Perlis,2017,5697.331,my-pl
Selangor,2017,302216.901,my-sl
Terengganu,2017,33986.912,my-te
Sabah,2017,83807.794,my-sa
Sarawak,2017,130183.157,my-sk
W.P. Kuala Lumpur,2017,206198.741,my-kl
W.P. Labuan,2017,6796.22,my-la
Supra,2017,46507.619,
Johor,2018,130601.205,my-jh
Kedah,2018,44811.149,my-kh
Kelantan,2018,24147.191,my-kn
Melaka,2018,42382.564,my-me
Negeri Sembilan,2018,45701.678,my-ns
Pahang,2018,56297.18,my-ph
Pulau Pinang,2018,91246.073,my-pg
Perak,2018,73041.493,my-pk
Perlis,2018,5889.145,my-pl
Selangor,2018,323246.098,my-sl
Terengganu,2018,34843.293,my-te
Sabah,2018,85019.704,my-sa
Sarawak,2018,133021.759,my-sk
W.P. Kuala Lumpur,2018,220382.011,my-kl
W.P. Labuan,2018,7252.175,my-la
Johor,2019,134238.151,my-jh
Kedah,2019,46849.036,my-kh
Kelantan,2019,25486.503,my-kn
Melaka,2019,43589.308,my-me
Negeri Sembilan,2019,48042.047,my-ns
Pahang,2019,58442.286,my-ph
Pulau Pinang,2019,94655.738,my-pg
Perak,2019,76002.101,my-pk
Perlis,2019,6156.285,my-pl
Selangor,2019,345039.433,my-sl
Terengganu,2019,36006.384,my-te
Sabah,2019,85648.445,my-sa
Sarawak,2019,136771.607,my-sk
W.P. Kuala Lumpur,2019,233816.209,my-kl
W.P. Labuan,2019,7629.025,my-la
Johor,2020,128078.493,my-jh
Kedah,2020,46044.173,my-kh
Kelantan,2020,25188.435,my-kn
Melaka,2020,41027.639,my-me
Negeri Sembilan,2020,46336.009,my-ns
Pahang,2020,54883.466,my-ph
Pulau Pinang,2020,92695.502,my-pg
Perak,2020,74267.228,my-pk
Perlis,2020,5779.543,my-pl
Selangor,2020,326824.299,my-sl
Terengganu,2020,33990.984,my-te
Sabah,2020,77836.724,my-sa
Sarawak,2020,127559.034,my-sk
W.P. Kuala Lumpur,2020,217456.203,my-kl
W.P. Labuan,2020,7613.797,my-la
Johor,2021,131314.846,my-jh
Kedah,2021,47517.775,my-kh
Kelantan,2021,25801.597,my-kn
Melaka,2021,41904.895,my-me
Negeri Sembilan,2021,47789.743,my-ns
Pahang,2021,55407.893,my-ph
Pulau Pinang,2021,99124.949,my-pg
Perak,2021,76932.3,my-pk
Perlis,2021,5869.705,my-pl
Selangor,2021,344013.152,my-sl
Terengganu,2021,35244.557,my-te
Sabah,2021,79005.88,my-sa
Sarawak,2021,131585.066,my-sk
W.P. Kuala Lumpur,2021,219722.78,my-kl
W.P. Labuan,2021,7651.116,my-la
Johor,2022,142073.142,my-jh
Kedah,2022,50947.135,my-kh
Kelantan,2022,26899.787,my-kn
Melaka,2022,45499.587,my-me
Negeri Sembilan,2022,50849.277,my-ns
Pahang,2022,61410.195,my-ph
Pulau Pinang,2022,112146.707,my-pg
Perak,2022,80222.899,my-pk
Perlis,2022,6206.267,my-pl
Selangor,2022,384908.091,my-sl
Terengganu,2022,37317.527,my-te
Sabah,2022,81940.322,my-sa
Sarawak,2022,140176.337,my-sk
W.P. Kuala Lumpur,2022,239836.471,my-kl
W.P. Labuan,2022,7958.17,my-la
