state,year,year_population,hc-key
Johor,2020,12798683.1,my-jh
Kedah,2020,6803468.699999999,my-kh
Kelantan,2020,5721859.5,my-kn
Melaka,2020,3186892.8,my-me
Negeri Sembilan,2020,5079669.0,my-ns
Pahang,2020,3830519.7,my-ph
Perak,2020,7967271.899999999,my-pk
Perlis,2020,909440.7,my-pl
Pulau Pinang,2020,5555396.699999999,my-pg
Sabah,2020,10912689.9,my-sa
Sarawak,2020,7831971.0,my-sk
Selangor,2020,22326244.5,my-sl
Terengganu,2020,3668605.5,my-te
W.P. Kuala Lumpur,2020,6326663.699999999,my-kl
W.P. Labuan,2020,303559.19999999995,my-la
W.P. Putrajaya,2020,347688.6,my-pj
Johor,2021,12831840.0,my-jh
Kedah,2021,6868066.800000001,my-kh
Kelantan,2021,5785061.1,my-kn
Melaka,2021,3206364.0,my-me
Negeri Sembilan,2021,5112147.6,my-ns
Pahang,2021,3843168.0,my-ph
Perak,2021,8030234.100000001,my-pk
Perlis,2021,918019.2,my-pl
Pulau Pinang,2021,5553681.0,my-pg
Sabah,2021,10893218.7,my-sa
Sarawak,2021,7870115.399999999,my-sk
Selangor,2021,22391520.9,my-sl
Terengganu,2021,3737034.0,my-te
W.P. Kuala Lumpur,2021,6269008.199999999,my-kl
W.P. Labuan,2021,305913.30000000005,my-la
W.P. Putrajaya,2021,367319.4,my-pj
Johor,2022,12858014.4,my-jh
Kedah,2022,6904655.100000001,my-kh
Kelantan,2022,5843235.300000001,my-kn
Melaka,2022,3218892.6,my-me
Negeri Sembilan,2022,5152566.300000001,my-ns
Pahang,2022,3855018.3,my-ph
Perak,2022,8026124.399999999,my-pk
Perlis,2022,925041.6,my-pl
Pulau Pinang,2022,5556912.9,my-pg
Sabah,2022,10900959.3,my-sa
Sarawak,2022,7895451.899999999,my-sk
Selangor,2022,22504278.3,my-sl
Terengganu,2022,3787786.8,my-te
W.P. Kuala Lumpur,2022,6260509.5,my-kl
W.P. Labuan,2022,308985.6,my-la
W.P. Putrajaya,2022,373025.1,my-pj
Johor,2023,13089993.0,my-jh
Kedah,2023,6982180.800000001,my-kh
Kelantan,2023,5929419.300000001,my-kn
Melaka,2023,3279381.0,my-me
Negeri Sembilan,2023,5243777.699999999,my-ns
Pahang,2023,3908205.0,my-ph
Perak,2023,8109236.100000001,my-pk
Perlis,2023,934378.2,my-pl
Pulau Pinang,2023,5655226.5,my-pg
Sabah,2023,11468297.4,my-sa
Sarawak,2023,8010603.300000001,my-sk
Selangor,2023,22999158.0,my-sl
Terengganu,2023,3860564.4,my-te
W.P. Kuala Lumpur,2023,6379451.4,my-kl
W.P. Labuan,2023,317444.4,my-la
W.P. Putrajaya,2023,379768.2,my-pj
